Month	Day	Period	Value
3	1	9	12.7
3	1	10	51.63
3	1	11	68.6
3	1	12	63.34
3	1	13	74.86
3	1	14	67.7
3	1	15	69.6
3	1	16	59.8
3	1	17	48.73
3	1	18	13.52
3	1	19	2.9
3	1	20	0
3	1	21	0
3	1	22	0
3	1	23	0
3	1	24	0
3	2	1	0
3	2	2	0
3	2	3	0
3	2	4	0
3	2	5	0
3	2	6	0
3	2	7	0
3	2	8	0
3	2	9	31.03
3	2	10	68.6
3	2	11	78.22
3	2	12	84.48
3	2	13	87.75
3	2	14	95.74
3	2	15	87.84
3	2	16	85.84
3	2	17	78.95
3	2	18	41.47
3	2	19	2.36
3	2	20	0
3	2	21	0
3	2	22	0
3	2	23	0
3	2	24	0
3	3	1	0
3	3	2	0
3	3	3	0
3	3	4	0
3	3	5	0
3	3	6	0
3	3	7	0
3	3	8	0
3	3	9	22.41
3	3	10	51
3	3	11	63.79
3	3	12	67.88
3	3	13	80.49
3	3	14	82.49
3	3	15	76.41
3	3	16	74.5
3	3	17	60.16
3	3	18	43.47
3	3	19	3.54
3	3	20	0
3	3	21	0
3	3	22	0
3	3	23	0
3	3	24	0
3	4	1	0
3	4	2	0
3	4	3	0
3	4	4	0
3	4	5	0
3	4	6	0
3	4	7	0
3	4	8	0
3	4	9	18.69
3	4	10	57.71
3	4	11	67.51
3	4	12	78.86
3	4	13	88.66
3	4	14	84.75
3	4	15	81.58
3	4	16	70.24
3	4	17	62.98
3	4	18	27.04
3	4	19	2.45
3	4	20	0
3	4	21	0
3	4	22	0
3	4	23	0
3	4	24	0
3	5	1	0
3	5	2	0
3	5	3	0
3	5	4	0
3	5	5	0
3	5	6	0
3	5	7	0
3	5	8	0
3	5	9	45.37
3	5	10	83.76
3	5	11	93.56
3	5	12	93.74
3	5	13	95.28
3	5	14	95.92
3	5	15	96.37
3	5	16	96.01
3	5	17	87.21
3	5	18	53.27
3	5	19	4.17
3	5	20	0
3	5	21	0
3	5	22	0
3	5	23	0
3	5	24	0
3	6	1	0
3	6	2	0
3	6	3	0
3	6	4	0
3	6	5	0
3	6	6	0
3	6	7	0
3	6	8	0
3	6	9	29.67
3	6	10	73.77
3	6	11	90.38
3	6	12	95.55
3	6	13	99.82
3	6	14	98.28
3	6	15	97.82
3	6	16	96.55
3	6	17	87.75
3	6	18	51.63
3	6	19	3.18
3	6	20	0
3	6	21	0
3	6	22	0
3	6	23	0
3	6	24	0
3	7	1	0
3	7	2	0
3	7	3	0
3	7	4	0
3	7	5	0
3	7	6	0
3	7	7	0
3	7	8	3.27
3	7	9	31.67
3	7	10	83.48
3	7	11	91.56
3	7	12	87.57
3	7	13	95.74
3	7	14	96.91
3	7	15	100
3	7	16	98.19
3	7	17	84.48
3	7	18	54.63
3	7	19	2.63
3	7	20	0
3	7	21	0
3	7	22	0
3	7	23	0
3	7	24	0
3	8	1	0
