Month	Day	Period	Val
2	12	22	3
2	12	23	8.72
2	12	24	15.26
2	13	1	24.52
2	13	2	30.52
2	13	3	45.5
2	13	4	50.41
2	13	5	47.68
2	13	6	44.14
2	13	7	40.6
2	13	8	32.7
2	13	9	26.16
2	13	10	5.45
2	13	11	5.99
2	13	12	0.82
2	13	13	7.36
2	13	14	4.63
2	13	15	0
2	13	16	0
2	13	17	0.82
2	13	18	2.18
2	13	19	7.08
2	13	20	11.17
2	13	21	20.16
2	13	22	21.8
2	13	23	25.89
2	13	24	44.14
2	14	1	55.31
2	14	2	51.77
2	14	3	50.95
2	14	4	49.32
2	14	5	48.23
2	14	6	44.41
2	14	7	39.51
2	14	8	41.42
2	14	9	39.78
2	14	10	27.52
2	14	11	24.25
2	14	12	28.61
2	14	13	19.89
2	14	14	15.8
2	14	15	10.08
2	14	16	11.72
2	14	17	25.07
2	14	18	11.44
2	14	19	29.43
2	14	20	31.34
2	14	21	47.96
2	14	22	55.31
2	14	23	56.4
2	14	24	54.5
2	15	1	53.41
2	15	2	53.41
2	15	3	53.13
2	15	4	52.04
2	15	5	51.5
2	15	6	51.5
2	15	7	50.68
2	15	8	43.87
2	15	9	40.05
2	15	10	48.23
2	15	11	49.05
2	15	12	50.41
2	15	13	51.23
2	15	14	50.41
2	15	15	53.95
2	15	16	53.95
2	15	17	53.41
2	15	18	53.41
2	15	19	53.13
2	15	20	52.86
2	15	21	52.86
2	15	22	52.86
2	15	23	52.86
2	15	24	53.13
2	16	1	53.13
2	16	2	53.41
2	16	3	52.86
2	16	4	52.59
2	16	5	51.23
2	16	6	51.23
2	16	7	52.32
2	16	8	50.41
2	16	9	50.68
2	16	10	47.96
2	16	11	45.78
2	16	12	42.23
2	16	13	40.33
2	16	14	35.42
2	16	15	31.34
2	16	16	30.25
2	16	17	43.32
2	16	18	41.96
2	16	19	43.87
2	16	20	48.77
2	16	21	46.05
2	16	22	38.15
2	16	23	38.69
2	16	24	19.89
2	17	1	29.7
2	17	2	36.78
2	17	3	33.51
2	17	4	8.17
2	17	5	47.14
2	17	6	34.88
2	17	7	41.69
2	17	8	42.51
2	17	9	50.41
2	17	10	50.95
2	17	11	48.23
2	17	12	43.6
2	17	13	42.51
2	17	14	40.6
2	17	15	40.87
2	17	16	32.43
2	17	17	25.34
2	17	18	30.79
2	17	19	25.61
2	17	20	10.63
2	17	21	8.17
2	17	22	0
2	17	23	0.27
2	17	24	4.63
2	18	1	4.09
2	18	2	1.36
2	18	3	0
2	18	4	0.27
2	18	5	0.82
2	18	6	0.82
2	18	7	1.36
2	18	8	3
2	18	9	9.26
2	18	10	12.26
2	18	11	3.54
2	18	12	0.82
2	18	13	2.72
2	18	14	3.27
2	18	15	2.45
2	18	16	1.09
2	18	17	2.45
2	18	18	3.27
2	18	19	3
2	18	20	5.18
2	18	21	11.17
2	18	22	16.35
2	18	23	23.16
2	18	24	39.51
2	19	1	22.34
2	19	2	15.8
2	19	3	8.45
2	19	4	2.18
2	19	5	1.91
2	19	6	1.63
2	19	7	1.91
2	19	8	0.82
2	19	9	0
2	19	10	1.09
2	19	11	0
2	19	12	0.54
2	19	13	1.63
2	19	14	3
2	19	15	3.27
2	19	16	3.54
2	19	17	11.72
2	19	18	16.08
2	19	19	19.89
2	19	20	35.42
2	19	21	37.33
2	19	22	50.68
2	19	23	51.77
2	19	24	49.32
2	20	1	49.32
2	20	2	51.23
2	20	3	53.68
2	20	4	54.22
2	20	5	53.13
2	20	6	52.86
2	20	7	51.77
2	20	8	50.95
2	20	9	49.86
2	20	10	49.05
2	20	11	47.96
2	20	12	47.41
2	20	13	45.78
2	20	14	46.05
2	20	15	43.32
2	20	16	42.23
2	20	17	37.06
2	20	18	37.6
2	20	19	42.23
2	20	20	50.95
2	20	21	48.77
2	20	22	51.23
2	20	23	54.77
2	20	24	53.41
2	21	1	51.77
2	21	2	50.14
2	21	3	49.05
2	21	4	46.59
2	21	5	50.14
2	21	6	51.5
2	21	7	50.68
2	21	8	50.95
2	21	9	51.23
2	21	10	47.41
2	21	11	42.23
2	21	12	30.79
2	21	13	36.51
2	21	14	28.34
2	21	15	30.79
2	21	16	34.88
2	21	17	25.89
2	21	18	49.86
2	21	19	48.5
2	21	20	38.69
2	21	21	25.89
2	21	22	48.23
2	21	23	54.5
2	21	24	49.86
2	22	1	56.4
2	22	2	54.22
2	22	3	53.95
2	22	4	51.23
2	22	5	51.77
2	22	6	47.14
2	22	7	44.69
2	22	8	13.08
2	22	9	19.62
2	22	10	14.17
2	22	11	8.17
2	22	12	7.63
2	22	13	8.45
2	22	14	11.17
2	22	15	14.44
2	22	16	17.17
2	22	17	21.25
2	22	18	20.71
2	22	19	19.62
2	22	20	29.97
2	22	21	33.79
2	22	22	41.69
2	22	23	37.33
2	22	24	43.32
2	23	1	42.78
2	23	2	47.96
2	23	3	47.14
2	23	4	25.07
2	23	5	9.81
2	23	6	0
2	23	7	0
2	23	8	0
